day|theme|goal|tasks|deliverables|tests|commit
01|Telegram Intake Bot|Document and validate the existing Telegram Intake Bot MVP as the first portfolio case.|Finalize case README; export workflow; record happy path; record failure path; fill journal.|README + workflow JSON + journal|Happy path / Failure path / Status check|Day 01: document and validate Telegram Intake Bot MVP
02|Intake Data Contract|Define the intake data contract for the Telegram Intake Bot.|Specify required fields; define output structure; document validation rules; update README.|Updated README + contract section|Valid payload / Missing field / Invalid text|Day 02: define intake data contract
03|Intake Failure Paths|Strengthen the intake bot with explicit failure-path handling.|List failure cases; define fallback responses; document human override; update journal.|README updates + test notes|Empty input / malformed payload / operator fallback|Day 03: add intake failure paths
04|Intake Monitoring|Add monitoring and operational visibility to the intake case.|Define logs; identify key events; document operator actions; update case artifacts.|README updates + monitoring notes|Message received / workflow fail / manual review|Day 04: add intake monitoring
05|Package Case 1|Package Telegram Intake Bot as a portfolio-ready client case.|Review README; confirm artifacts; tighten commercial framing; finalize case.|Portfolio-ready case folder|README completeness / artifact presence / demo scenario|Day 05: package Telegram Intake Bot case
06|CRM Routing Bot|Define the second case: CRM Routing Bot.|Create case README; describe routing problem; define input/output; define business routes.|README for CRM Routing Bot|Sales route / support route / unknown route|Day 06: define CRM Routing Bot case
07|Routing Rules MVP|Design a rule-based routing MVP for incoming requests.|Create categories; define route conditions; map outputs; describe workflow logic.|Routing logic documented|Known category / ambiguous text / empty route|Day 07: create routing rules MVP
08|Routing Failure Paths|Document failure-path handling for CRM routing.|Unknown request type; fallback queue; human override; log wrong classifications.|README updates + test notes|Unknown type / duplicate request / malformed payload|Day 08: add routing failure paths
09|Routing Monitoring|Document monitoring and control points for CRM routing.|Define logs; define escalation; define manual correction process; update artifacts.|Monitoring notes + updated README|Wrong route / manual reroute / downstream fail|Day 09: add routing monitoring
10|Package Case 2|Package CRM Routing Bot as a portfolio-ready client case.|Review completeness; confirm business framing; ensure tests are documented.|Portfolio-ready routing case|README completeness / artifact presence / test coverage|Day 10: package CRM Routing Bot case
11|AI Intake Assistant|Define the third case: AI Intake Assistant.|Describe what AI adds; define structured extraction target; define non-AI fallback.|README for AI Intake Assistant|Structured extraction / fallback / unclear request|Day 11: define AI Intake Assistant
12|Extraction Schema|Design the extraction schema for AI-assisted intake.|List fields; define output object; define validation rules; document confidence handling.|Schema documented in README|Complete request / partial request / malformed request|Day 12: define AI extraction schema
13|AI Fallback Logic|Document when the system should not trust AI output.|Define fallback rules; define manual review trigger; update failure paths.|README updates + fallback rules|Low confidence / empty extraction / conflicting fields|Day 13: add AI fallback logic
14|Human Review Layer|Add human override and review logic to AI Intake Assistant.|Define operator checkpoints; define escalation path; document business risks.|Human review documented|Manual correction / escalation / operator rejection|Day 14: add human review layer
15|Package Case 3|Package AI Intake Assistant as a portfolio-ready case.|Review README; confirm artifacts; tighten commercial positioning.|Portfolio-ready AI intake case|README completeness / artifact presence / fallback coverage|Day 15: package AI Intake Assistant
16|Support Triage Bot|Define the fourth case: Support Triage Bot.|Describe support triage problem; define categories; define outputs and escalation paths.|README for Support Triage Bot|Bug / billing / urgent support|Day 16: define Support Triage Bot
17|Priority Rules|Add priority and SLA-related fields to support triage.|Define severity; define priority; define due-state behavior; update workflow logic.|README updates + priority model|Low / medium / urgent|Day 17: add triage priority rules
18|Escalation Logic|Document escalation and exception paths in support triage.|Define escalation conditions; define manual review path; document failure behavior.|README updates + escalation logic|Urgent case / no category / repeated issue|Day 18: add escalation logic
19|Support Tests|Write and document the happy path and failure paths for triage.|Run through standard and failure scenarios; document expected responses.|Test notes + updated case|Standard case / ambiguous case / operator fallback|Day 19: test Support Triage Bot
20|Package Case 4|Package Support Triage Bot as a portfolio-ready case.|Check artifacts; strengthen commercial framing; review demo scenario.|Portfolio-ready triage case|README completeness / artifact presence / test notes|Day 20: package Support Triage Bot case
21|SLA Reminder Bot|Define the fifth case: SLA Reminder Bot.|Describe SLA problem; define reminder events; define escalation behavior.|README for SLA Reminder Bot|Upcoming due / overdue / escalated|Day 21: define SLA Reminder Bot
22|Reminder Workflow|Design the reminder workflow for SLA handling.|Define timers; define status checks; define user/operator messages.|Workflow logic documented|On time / due soon / overdue|Day 22: design reminder workflow
23|Escalation and Breach|Document breach handling and escalation for SLA reminders.|Define breach criteria; define escalation path; define manual override.|README updates + escalation notes|Breach / repeated reminder / operator override|Day 23: add SLA escalation logic
24|SLA Monitoring|Add monitoring and operational notes to the SLA case.|Define logs; define audit points; define business metrics for reminders.|README updates + monitoring notes|Reminder sent / send failed / escalated|Day 24: add SLA monitoring
